Date,DailyVisitors,ConversionRate,AverageOrderValue
2023-01-01,5000,2.5%,75.50
2023-01-02,5200,2.7%,78.25
2023-01-03,4800,2.4%,73.75
2023-01-04,5100,2.6%,76.00
2023-01-05,5300,2.8%,79.00
2023-01-06,6000,3.0%,80.50
2023-01-07,6500,3.2%,82.00
2023-01-08,5100,2.6%,76.25
2023-01-09,5300,2.7%,77.50
2023-01-10,5200,2.6%,76.75
2023-01-11,5400,2.8%,78.50
2023-01-12,5600,2.9%,79.75
2023-01-13,6200,3.1%,81.25
2023-01-14,6700,3.3%,83.00
2023-01-15,5300,2.7%,77.75
2023-01-16,5500,2.8%,78.50
2023-01-17,5400,2.7%,77.25
2023-01-18,5600,2.9%,79.00
2023-01-19,5800,3.0%,80.25
2023-01-20,6400,3.2%,82.00
2023-01-21,6900,3.4%,84.50
2023-01-22,5500,2.8%,78.75
2023-01-23,5700,2.9%,79.50
2023-01-24,5600,2.8%,78.25
2023-01-25,5800,3.0%,80.00
2023-01-26,6000,3.1%,81.25
2023-01-27,6600,3.3%,83.00
2023-01-28,7100,3.5%,85.50
2023-01-29,5700,2.9%,79.75
2023-01-30,5900,3.0%,80.50
2023-01-31,5800,2.9%,79.25
2023-02-01,6000,3.1%,81.00
2023-02-02,6200,3.2%,82.25
2023-02-03,6800,3.4%,84.00
2023-02-04,7300,3.6%,86.50
2023-02-05,5900,3.0%,80.75
2023-02-06,6100,3.1%,81.50
2023-02-07,6000,3.0%,80.25
2023-02-08,6200,3.2%,82.00
2023-02-09,6400,3.3%,83.25
2023-02-10,7000,3.5%,85.00
2023-02-11,7500,3.7%,87.50
2023-02-12,6100,3.1%,81.75
2023-02-13,6300,3.2%,82.50
2023-02-14,7000,3.5%,85.00
2023-02-15,6400,3.3%,83.00
2023-02-16,6600,3.4%,84.25
2023-02-17,7200,3.6%,86.00
2023-02-18,7700,3.8%,88.50
2023-02-19,6300,3.2%,82.75
2023-02-20,6500,3.3%,83.50
2023-02-21,6400,3.2%,82.25
2023-02-22,6600,3.4%,84.00
2023-02-23,6800,3.5%,85.25
2023-02-24,7400,3.7%,87.00
2023-02-25,7900,3.9%,89.50
2023-02-26,6500,3.3%,83.75
2023-02-27,6700,3.4%,84.50
2023-02-28,6600,3.3%,83.25
2023-03-01,6800,3.5%,85.00
2023-03-02,7000,3.6%,86.25
2023-03-03,7600,3.8%,88.00
2023-03-04,8100,4.0%,90.50
2023-03-05,6700,3.4%,84.75
2023-03-06,6900,3.5%,85.50
2023-03-07,6800,3.4%,84.25
2023-03-08,7000,3.6%,86.00
2023-03-09,7200,3.7%,87.25
2023-03-10,7800,3.9%,89.00
2023-03-11,8300,4.1%,91.50
2023-03-12,6900,3.5%,85.75
